Job Title,company,description,skills,combined
Email Marketing Specialist,Accenture,email deliverability best practice spam filter testing list hygiene blacklist monitoring email authentication eg spf dkim deliverability metric analysis troubleshooting deliverability issue communication skill data analysis attention detail,email marketing specialist monitor improve email deliverability rate troubleshoot delivery issue maintain clean email list email deliverability best practice spam filter testing list hygiene blacklist monitoring email authentication eg spf dkim deliverability metric analysis troubleshooting deliverability issue communication skill data analysis attention detail,
Hr Generalist,Microsoft,human resource recruitment employee onboarding hris hr information system record keeping communication skill,hr generalist hr coordinator assist hr function recruitment onboarding employee record maintenance often handle administrative task organize training program provide support hr department various way human resource recruitment employee onboarding hris hr information system record keeping communication skill,
Legal Assistant,Google,legal administrative task document management calendar docketing transcription file organization communication client court knowledge legal terminology attention detail multitasking computer skill eg m office,legal assistant provide administrative support legal professional manage schedule draft document handle correspondence legal administrative task document management calendar docketing transcription file organization communication client court knowledge legal terminology attention detail multitasking computer skill eg m office,
Nurse Practitioner,Accenture,family medicine health assessment pediatric care chronic disease management patient education,nurse practitioner family nurse practitioner specialize familycentered healthcare providing comprehensive medical care individual age within family context family medicine health assessment pediatric care chronic disease management patient education,
Account Director,Microsoft,account management client relation marketing strategy campaign optimization data analysis communication skill,account director account strategist work advertising marketing agency managing client account develop strategy meet client goal oversee campaign execution maintain client satisfaction providing expert guidance solution account management client relation marketing strategy campaign optimization data analysis communication skill,
Software Engineer,Google,proficiency one backend programming language eg java python nodejs ruby api development database management sql nosql server management deployment security best practice knowledge web framework eg express django,software engineer backend developer tasked building maintaining serverside logic database infrastructure web application work core functionality data storage server communication ensure application run smoothly efficiently proficiency one backend programming language eg java python nodejs ruby api development database management sql nosql server management deployment security best practice knowledge web framework eg express django,
Purchasing Agent,Microsoft,supply chain logistics inventory management communication skill problemsolving vendor coordination,purchasing agent supply chain coordinator manages supply chain operation coordinate logistics ensures seamless flow good material throughout supply chain network supply chain logistics inventory management communication skill problemsolving vendor coordination,
Sale Consultant,Tech Mahindra,bb sale businesstobusiness sale strategy lead generation sale negotiation client relationship building market research,sale consultant bb sale consultant specialize businesstobusiness sale identify target potential corporate client negotiate contract build longterm relationship drive sale growth bb market bb sale businesstobusiness sale strategy lead generation sale negotiation client relationship building market research,
Civil Engineer,Microsoft,structural engineering principle structural analysis design software eg autocad sap building code standard project management structural integrity assessment,civil engineer structural engineer design analyzes structural integrity building bridge structure ensure safety compliance engineering standard structural engineering principle structural analysis design software eg autocad sap building code standard project management structural integrity assessment,
Network Security Specialist,Accenture,soc operation security incident response threat detection log analysis security tool eg idsips security alert triage,network security specialist soc analyst work security operation center monitor respond security incident analyze threat implement security protocol protect organization asset soc operation security incident response threat detection log analysis security tool eg idsips security alert triage,
Ui Developer,Microsoft,frontend web development html cs javascript responsive design web performance optimization crossbrowser compatibility,ui developer frontend developer specializes creating user interface user experience website application code design element user interact directly frontend web development html cs javascript responsive design web performance optimization crossbrowser compatibility,
Financial Planner,Tech Mahindra,tax planning strategy tax law knowledge financial analysis retirement planning estate planning client relationship management tax optimization communication skill attention detail tax software proficiency regulatory compliance,financial planner assist client tax planning minimize tax liability stay uptodate tax law regulation tax planning strategy tax law knowledge financial analysis retirement planning estate planning client relationship management tax optimization communication skill attention detail tax software proficiency regulatory compliance,
Event Planner,Accenture,event planning vendor coordination budget management marketing promotion logistics,event planner event coordinator plan execute various event including conference party meeting managing logistics budget vendor relationship event planning vendor coordination budget management marketing promotion logistics,
Psychologist,Google,clinical psychology counseling skill assessment tool diagnostic skill empathy listening skill,psychologist clinical psychologist diagnose treat mental health disorder conduct therapy session assessment research improve patient wellbeing clinical psychology counseling skill assessment tool diagnostic skill empathy listening skill,
Electrical Designer,Microsoft,electrical engineering circuit design electronics autocad proficiency problemsolving,electrical designer electrical engineer design develop electrical system device work project power generation electronics control system various industry electrical engineering circuit design electronics autocad proficiency problemsolving,
Electrical Designer,IBM,lighting design architectural lighting lighting software proficiency creative lighting concept technical knowledge,electrical designer lighting designer create lighting plan architectural artistic purpose enhance space lighting effect aesthetic energyefficient lighting solution lighting design architectural lighting lighting software proficiency creative lighting concept technical knowledge,
Data Analyst,Microsoft,data analysis visualization tool eg tableau power bi sql database querying business intelligence concept data modeling reporting strong analytical problemsolving skill datadriven decisionmaking,data analyst business intelligence analyst gather analyze data provide valuable insight support decisionmaking within organization create report dashboard data visualization help stakeholder understand trend pattern opportunity data data analysis visualization tool eg tableau power bi sql database querying business intelligence concept data modeling reporting strong analytical problemsolving skill datadriven decisionmaking,
Technical Writer,Google,writing skill content creation seo knowledge research skill grammar proofreading,technical writer content writer create written content various platform produce article blog post web content inform educate entertain audience writing skill content creation seo knowledge research skill grammar proofreading,
Tax Consultant,Microsoft,tax law knowledge individual tax planning tax return preparation tax deduction credit tax compliance irs regulation client relationship management communication skill attention detail tax software proficiency,tax consultant personal tax consultant provides tax planning preparation service individual help client optimize tax situation ensuring compliance tax law tax law knowledge individual tax planning tax return preparation tax deduction credit tax compliance irs regulation client relationship management communication skill attention detail tax software proficiency,
Software Tester,Accenture,test automation tool eg selenium appium scripting language eg python java test framework development continuous integration tool test data management,software tester automation tester us automated testing tool verify functionality performance software application create execute automated test script test automation tool eg selenium appium scripting language eg python java test framework development continuous integration tool test data management,
Account Executive,Accenture,sale strategy tactic account management relationship building sale forecasting industry product knowledge,account executive sale account executive responsible acquiring managing business account identify sale opportunity negotiate contract meet revenue target sale strategy tactic account management relationship building sale forecasting industry product knowledge,
System Administrator,Microsoft,technical troubleshooting hardware software support customer service problemsolving communication,system administrator support specialist provide technical assistance endusers troubleshooting hardware software problem setting equipment maintaining infrastructure technical troubleshooting hardware software support customer service problemsolving communication,
Database Administrator,Microsoft,database design development sql database querying data modeling programming language eg java python data security privacy regulation knowledge,database administrator database developer design develops maintains database create efficient data structure write query ensure data security integrity database design development sql database querying data modeling programming language eg java python data security privacy regulation knowledge,
Research Analyst,IBM,social science research method qualitative quantitative data analysis survey design implementation ethnographic research interviewing skill research ethic statistical software eg stata nvivo report writing communication skill critical thinking empathy,research analyst social science researcher conduct research field sociology psychology anthropology study human behavior social phenomenon contributing academic knowledge social science research method qualitative quantitative data analysis survey design implementation ethnographic research interviewing skill research ethic statistical software eg stata nvivo report writing communication skill critical thinking empathy,
Data Entry Clerk,Accenture,record management data entry retrieval attention detail,data entry clerk record keeper responsible maintaining accurate record database ensuring data integrity assisting data retrieval needed record management data entry retrieval attention detail,
Registered Nurse,IBM,nursing care patient assessment medical knowledge,registered nurse staff nurse provides patient care administers medication collaborates healthcare team ensure wellbeing patient clinical setting nursing care patient assessment medical knowledge,
Tax Consultant,Microsoft,international tax law knowledge transfer pricing crossborder tax planning tax treaty agreement foreign tax credit international tax compliance transfer pricing documentation multinational tax strategy client relationship management communication skill tax software proficiency,tax consultant international tax consultant focus tax matter related international business operation ensuring compliance global tax law optimizing tax structure international tax law knowledge transfer pricing crossborder tax planning tax treaty agreement foreign tax credit international tax compliance transfer pricing documentation multinational tax strategy client relationship management communication skill tax software proficiency,
Investment Analyst,Microsoft,risk assessment data analysis financial modeling risk management tool regulatory compliance knowledge,investment analyst risk analyst assesses manages financial risk within organization use data analysis modeling evaluate potential risk recommend mitigation strategy risk assessment data analysis financial modeling risk management tool regulatory compliance knowledge,
Speech Therapist,Tech Mahindra,speech pathology articulation therapy language disorder speech assessment therapy planning communication skill,speech therapist speech pathologist diagnose treat speech language swallowing disorder patient age develop personalized treatment plan improve communication speech pathology articulation therapy language disorder speech assessment therapy planning communication skill,
Sale Manager,Tech Mahindra,sale strategy development territory management sale team leadership,sale manager oversee sale operation within specific region develop sale plan manage regional sale team sale strategy development territory management sale team leadership,
Social Worker,Tech Mahindra,counseling technique psychotherapy mental health assessment treatment planning crisis intervention ethical standard empathy active listening cultural competence documentation communication skill selfcare licensing certification,social worker offer counseling therapy service individual couple group helping address mental health concern counseling technique psychotherapy mental health assessment treatment planning crisis intervention ethical standard empathy active listening cultural competence documentation communication skill selfcare licensing certification,
Landscape Architect,Tech Mahindra,urban design planning zoning regulation gi mapping tool,landscape architect develop implement urban planning strategy manage land use ensure sustainable city development urban design planning zoning regulation gi mapping tool,
Key Account Manager,IBM,account management client relationship sale strategy business development negotiation skill,key account manager strategic account manager nurture relationship key client develop account strategy address client need seek opportunity business growth expansion account management client relationship sale strategy business development negotiation skill,
Ux Researcher,Google,user research method usability testing data analysis interpretation,ux researcher conduct user research understand customer need preference behavior inform product development user research method usability testing data analysis interpretation,
Investment Banker,Google,financial analysis data analysis financial modeling,investment banker financial analyst conduct financial analysis generates report provides insight support decisionmaking budgeting financial planning financial analysis data analysis financial modeling,
Support Specialist,IBM,desktop hardware software troubleshooting operating system expertise eg window macos remote desktop support hardware software upgrade customer service skill,support specialist desktop support technician troubleshoot maintain desktop computer system resolving hardware software problem user desktop hardware software troubleshooting operating system expertise eg window macos remote desktop support hardware software upgrade customer service skill,
Art Director,Microsoft,art history knowledge art curation exhibition planning collection management art market trend cultural awareness,art director art curator responsible managing preserving collection artwork curate exhibition acquire new piece educate public art art history knowledge art curation exhibition planning collection management art market trend cultural awareness,
Software Developer,Google,mobile app development language eg java swift kotlin crossplatform development eg react native flutter mobile app design principle apis web service integration debugging troubleshooting,software developer mobile app developer design develop mobile application various platform collaborate crossfunctional team create userfriendly functional mobile apps meet user need mobile app development language eg java swift kotlin crossplatform development eg react native flutter mobile app design principle apis web service integration debugging troubleshooting,
Project Manager,Accenture,agile methodology scrum kanban team collaboration agile tool eg jira,project manager agile project manager lead agile team facilitating effective project development delivery use agile methodology manage task prioritize work adapt changing requirement fostering collaboration among team member agile methodology scrum kanban team collaboration agile tool eg jira,
Customer Service Manager,IBM,quality assurance quality control process improvement audit procedure compliance standard root cause analysis,customer service manager service quality assurance manager monitor evaluate service quality organization develop quality standard conduct audit analyze customer feedback implement improvement ensure consistent highquality service delivery quality assurance quality control process improvement audit procedure compliance standard root cause analysis,
Procurement Manager,Tech Mahindra,procurement process vendor assessment contract negotiation purchase order management spend analysis market research supplier relationship management data analysis problemsolving attention detail communication skill financial acumen,procurement manager analyze procurement data identify costsaving opportunity support procurement process procurement process vendor assessment contract negotiation purchase order management spend analysis market research supplier relationship management data analysis problemsolving attention detail communication skill financial acumen,
Substance Abuse Counselor,Google,family counseling marriage family therapy conflict resolution skill,substance abuse counselor family counselor work family address interpersonal issue improve communication resolve conflict fostering healthier family dynamic family counseling marriage family therapy conflict resolution skill,
Supply Chain Analyst,Google,supply chain analysis data analytics inventory management transportation planning problemsolving,supply chain analyst logistics analyst analyzes optimizes logistics supply chain operation identifying costsaving opportunity improving transportation efficiency enhancing supply chain performance supply chain analysis data analytics inventory management transportation planning problemsolving,
Data Engineer,Google,data architecture design database management system data modeling,data engineer data architect design manages data infrastructure ensuring data availability security integrity aligning data system business goal requirement data architecture design database management system data modeling,
Technical Writer,IBM,document management recordkeeping attention detail data entry organizational skill,technical writer documentation specialist create manage document manual technical material ensure accuracy consistency accessibility documentation document management recordkeeping attention detail data entry organizational skill,
Accountant,Google,financial reporting accounting software eg quickbooks auditing gaap knowledge,accountant financial accountant handle financial record prepare financial statement ensure compliance accounting standard analyze financial data provide accurate financial report support decisionmaking within organization financial reporting accounting software eg quickbooks auditing gaap knowledge,
Sale Representative,Google,sale prospecting lead generation sale presentation communication crm software eg salesforce sale negotiation closing technique product knowledge relationship building,sale representative inside sale representative responsible selling product service customer phone online channel engage lead answer customer inquiry use persuasive communication close sale meet revenue target sale prospecting lead generation sale presentation communication crm software eg salesforce sale negotiation closing technique product knowledge relationship building,
Purchasing Agent,Google,inventory control demand forecasting supply chain management data analysis warehouse management,purchasing agent inventory manager oversees inventory level coordinate stock movement optimizes inventory control procedure ensure efficient stock management product availability inventory control demand forecasting supply chain management data analysis warehouse management,
Qa Analyst,Tech Mahindra,test automation test framework development continuous integration scripting language eg python test reporting code review,qa analyst automation test engineer develop automated test script framework streamline enhance testing process focus automating repetitive test improve efficiency maintain test consistency test automation test framework development continuous integration scripting language eg python test reporting code review,
Environmental Consultant,Google,sustainability consulting sustainability assessment sustainable practice green building standard environmental policy client communication,environmental consultant sustainability consultant advise organization sustainable practice strategy assess environmental impact recommend sustainability initiative assist development implementation sustainable policy sustainability consulting sustainability assessment sustainable practice green building standard environmental policy client communication,
Electrical Engineer,Accenture,electronics design pcb layout embedded system circuit analysis troubleshooting,electrical engineer electronics hardware engineer develop design electronic component system circuit board hardware prototype ensuring functionality performance electronics design pcb layout embedded system circuit analysis troubleshooting,
System Engineer,Google,system integration integration architecture data mapping middleware technology api integration system testing troubleshooting,system engineer role system integration specialist involves integrating various software hardware component create cohesive system design implement solution enable different system communicate work together seamlessly responsibility also include troubleshooting integration issue ensuring data consistency collaborating crossfunctional team system integration integration architecture data mapping middleware technology api integration system testing troubleshooting,
Brand Manager,Accenture,brand strategy development market research analysis competitive analysis brand positioning messaging creative direction collaboration,brand manager brand strategist develops strategy build strengthen company brand identity research market trend consumer preference guide branding decision brand strategy development market research analysis competitive analysis brand positioning messaging creative direction collaboration,
Nurse Practitioner,Accenture,acute care nursing emergency medicine critical care diagnostic test treatment planning,nurse practitioner acute care nurse practitioner focus managing acute critical medical condition often working hospital emergency care setting acute care nursing emergency medicine critical care diagnostic test treatment planning,
Litigation Attorney,Tech Mahindra,litigation legal research courtroom representation case preparation client counseling legal writing,litigation attorney trial attorney represent client legal proceeding prepare case conduct trial provide legal counsel client involved civil criminal litigation litigation legal research courtroom representation case preparation client counseling legal writing,
Network Engineer,HP,network security protocol technology firewall intrusion detection system vulnerability assessment penetration testing security policy development enforcement incident response recovery,network engineer network security engineer focus protecting network system cyber threat implement security measure monitor network traffic respond security incident safeguard organization data network security protocol technology firewall intrusion detection system vulnerability assessment penetration testing security policy development enforcement incident response recovery,
Psychologist,Tech Mahindra,research methodology data analysis psychological study writing research report critical thinking,psychologist research psychologist conduct psychological research advance field understanding design study collect data analyze result inform scientific knowledge research methodology data analysis psychological study writing research report critical thinking,
Art Teacher,IBM,art education curriculum program development teacher training communication skill artistic expertise,art teacher art education coordinator plan manages art education program curriculum development educational outreach promote art appreciation learning within community art education curriculum program development teacher training communication skill artistic expertise,
Human Resource Manager,Tech Mahindra,talent sourcing interviewing onboarding recruitment strategy hr software,human resource manager talent acquisition manager oversee recruitment hiring process develop recruitment strategy source candidate conduct interview collaborate hiring manager attract hire qualified talent meet organization staffing need talent sourcing interviewing onboarding recruitment strategy hr software,
Inventory Analyst,Accenture,inventory management stock control demand forecasting inventory tracking system supply chain coordination problemsolving skill,inventory analyst inventory control specialist manage optimize inventory level business track stock monitor demand implement inventory control procedure ensure efficient operation minimize carrying cost inventory management stock control demand forecasting inventory tracking system supply chain coordination problemsolving skill,
Legal Counsel,Tech Mahindra,corporate law regulation contract drafting negotiation legal research analysis risk management excellent communication negotiation skill,legal counsel corporate attorney provide legal counsel representation organization handle legal matter contract merger acquisition ensure compliance law regulation relevant business corporate law regulation contract drafting negotiation legal research analysis risk management excellent communication negotiation skill,
Database Developer,Tech Mahindra,sql structured query language database design query optimization data modeling database maintenance problemsolving skill,database developer sql database developer design implement maintain relational database using sql structured query language write query optimize database performance ensure data integrity security sql structured query language database design query optimization data modeling database maintenance problemsolving skill,
Procurement Specialist,Tech Mahindra,procurement strategy supplier management negotiation cost analysis supply chain management,procurement specialist procurement manager oversee procurement process managing vendor relationship negotiating contract ensuring costeffective purchasing good service procurement strategy supplier management negotiation cost analysis supply chain management,
System Analyst,Tech Mahindra,system analysis troubleshooting support documentation,system analyst analyst assesses analyzes system identifying area improvement implementing technology solution providing technical support user department system analysis troubleshooting support documentation,
Account Executive,IBM,key account management sale strategy development negotiation closing skill relationship building industry market knowledge,account executive key account executive manages strategic account company build strong client relationship work expand business opportunity within key account key account management sale strategy development negotiation closing skill relationship building industry market knowledge,
Copywriter,Accenture,creative writing copywriting advertising copy content creation brand storytelling marketing campaign proofreading editing,copywriter creative copywriter craft engaging persuasive copy marketing material advertisement content marketing campaign use writing skill captivate audience convey brand message effectively creative writing copywriting advertising copy content creation brand storytelling marketing campaign proofreading editing,
Digital Marketing Specialist,Zoho,search engine algorithm ranking factor keyword research analysis onpage offpage seo optimization seo tool eg google analytics semrush seo content strategy,digital marketing specialist seo specialist optimize website search engine improve online visibility conduct keyword research optimize content implement seo strategy increase organic traffic ranking search engine algorithm ranking factor keyword research analysis onpage offpage seo optimization seo tool eg google analytics semrush seo content strategy,
Sale Representative,Tech Mahindra,sale strategy planning account management customer relationship management solution selling sale forecasting contract negotiation sale metric reporting,sale representative account executive manage grow relationship existing client customer understand client need propose solution negotiate contract ensure customer satisfaction often working closely sale customer support team sale strategy planning account management customer relationship management solution selling sale forecasting contract negotiation sale metric reporting,
Project Manager,Tech Mahindra,construction management budgeting contract negotiation safety regulation,project manager construction project manager oversees manages construction project ensuring completed time within budget coordinate contractor architect stakeholder ensure successful project delivery construction management budgeting contract negotiation safety regulation,
Technical Writer,Google,instructional design elearning tool curriculum development multimedia design learning theory knowledge,technical writer instructional designer develop educational material curriculum design engaging effective learning experience student employee instructional design elearning tool curriculum development multimedia design learning theory knowledge,
Content Writer,IBM,content strategy content planning seo optimization content marketing analytics,content writer content strategist develop execute content strategy align business objective plan content creation distribution promotion engage audience drive brand growth content strategy content planning seo optimization content marketing analytics,
Hr Coordinator,Accenture,training program coordination training material development learning management system,hr coordinator training coordinator design implement employee training program assess training need develop training material facilitate training session enhance employee skill knowledge training program coordination training material development learning management system,
Hr Coordinator,Microsoft,recruitment process candidate screening applicant tracking system communication,hr coordinator recruitment coordinator support hiring process scheduling interview screening candidate assisting onboarding ensure smooth recruitment process maintain candidate record recruitment process candidate screening applicant tracking system communication,
Business Development Manager,IBM,partnership development negotiation collaboration business development,business development manager strategic partnership manager identifies develops strategic partnership alliance benefit organization fostering collaboration driving mutual success partnership development negotiation collaboration business development,
Java Developer,Google,backend development restful apis database integration java ee enterprise edition performance optimization version control eg git,java developer java backend developer specialize building serverside component software application using java work database integration server logic performance optimization ensure efficient reliable backend functionality backend development restful apis database integration java ee enterprise edition performance optimization version control eg git,
Sale Manager,Google,sale leadership team management sale strategy planning,sale manager lead motivate sale team set sale target develop sale strategy meet goal sale leadership team management sale strategy planning,
Speech Therapist,Accenture,pediatric speech therapy speechlanguage assessment individualized treatment plan child development communication skill,speech therapist pediatric speech therapist provide speech therapy child speech language disorder assess treat communication difficulty improve language skill pediatric speech therapy speechlanguage assessment individualized treatment plan child development communication skill,
Data Engineer,Microsoft,big data technology hadoop spark etc data processing analysis distributed computing,data engineer big data engineer develops manages big data solution including data storage processing analysis platform extract valuable insight support datadriven decision big data technology hadoop spark etc data processing analysis distributed computing,
Database Developer,Accenture,nosql database eg mongodb cassandra data modeling data migration performance tuning scalability distributed system,database developer nosql database engineer work nonrelational database store manage large volume unstructured semistructured data design data model optimize database performance ensure scalability data consistency nosql database eg mongodb cassandra data modeling data migration performance tuning scalability distributed system,
Supply Chain Manager,Tech Mahindra,demand forecasting inventory management data analysis sale operation planning sop erp software proficiency,supply chain manager demand planner analyzes historical sale data forecast future demand product work optimize inventory level ensure product availability minimizing cost demand forecasting inventory management data analysis sale operation planning sop erp software proficiency,
Wedding Planner,IBM,wedding design concept decor selection arrangement creative flair,wedding planner wedding designer specializes creating visually appealing wedding design dcor transforming wedding venue beautiful memorable space wedding design concept decor selection arrangement creative flair,
Event Coordinator,IBM,event planning coordination budget management vendor negotiation venue selection management timeline logistics planning marketing promotion risk management client communication creativity problemsolving attention detail,event coordinator plan coordinate event including selecting venue managing budget arranging logistics ensuring successful outcome event planning coordination budget management vendor negotiation venue selection management timeline logistics planning marketing promotion risk management client communication creativity problemsolving attention detail,
Investment Analyst,Tech Mahindra,investment management financial analysis risk assessment asset allocation portfolio optimization,investment analyst portfolio manager oversees investment portfolio making decision maximize return minimize risk analyze financial market adjust asset allocation accordingly investment management financial analysis risk assessment asset allocation portfolio optimization,
Family Nurse Practitioner,Microsoft,geriatric healthcare geriatric assessment geriatric treatment elderly patient care geriatric pharmacology,family nurse practitioner geriatric nurse practitioner focus healthcare need elderly patient provide specialized care address agerelated health concern geriatric healthcare geriatric assessment geriatric treatment elderly patient care geriatric pharmacology,
Frontend Engineer,Google,javascript programming frontend development frontend framework eg react angular dom manipulation ajax debugging troubleshooting,frontend engineer javascript developer write code create interactive dynamic web application use javascript library framework build clientside functionality ensuring smooth user interaction responsive web design javascript programming frontend development frontend framework eg react angular dom manipulation ajax debugging troubleshooting,
Customer Success Manager,IBM,account management customer relationship management sale negotiation business development client need analysis,customer success manager account manager build maintains relationship client customer ensuring need met promoting product service drive revenue growth account management customer relationship management sale negotiation business development client need analysis,
Procurement Coordinator,Google,procurement supplier management negotiation supply chain management inventory control vendor relation,procurement coordinator purchasing coordinator manage procurement process source purchase good service negotiate supplier ensure costeffective timely acquisition procurement supplier management negotiation supply chain management inventory control vendor relation,
Urban Planner,IBM,transportation planning traffic engineering gi proficiency public transportation project management,urban planner transportation planner design manage transportation system optimize traffic flow plan public transit route enhance overall transportation efficiency transportation planning traffic engineering gi proficiency public transportation project management,
Speech Therapist,Microsoft,adult speech therapy speechlanguage assessment rehabilitation technique swallowing disorder communication skill,speech therapist adult speech therapist work adult address speech language disorder provide therapy support improve communication enhance quality life adult speech therapy speechlanguage assessment rehabilitation technique swallowing disorder communication skill,
Hr Coordinator,IBM,employee benefit administration benefit compliance hris benefit communication,hr coordinator benefit coordinator administer employee benefit program including health insurance retirement plan perk assist employee benefit inquiry ensure compliance benefit policy employee benefit administration benefit compliance hris benefit communication,
Architectural Designer,Microsoft,interior design space planning color theory material selection cad software eg sketchup client collaboration budget management,architectural designer interior designer plan design interior space meet functional aesthetic need client select furniture color material layout create visually appealing functional interior home business interior design space planning color theory material selection cad software eg sketchup client collaboration budget management,
